num_of_antecedent_events,avg_of_case_remaining_time,y_case_remaining_time
25,1121596.2301124877,9772718.113
26,1121596.2301124877,9657544.295
27,1121596.2301124877,9420476.73
28,1121596.2301124877,9149631.279
29,1121596.2301124877,9140903.943
30,455055.6343089471,9083650.096
31,1121596.2301124877,9083647.616
32,7527.792504385949,8886273.688
33,7845.475503649621,8886273.687
34,7845.474540145966,8886273.687
35,7845.474449635019,8886273.687
36,240389.78877129089,8886264.767
0,771978.3777942169,37.554
1,771977.8326473025,37.385
2,2.1684603490170096,0.0
0,771978.3777942169,41.143
1,771977.8326473025,40.935
2,2.1684603490170096,0.0
0,771978.3777942169,11806.751
1,771977.8326473025,11806.576
2,1369727.7783866778,11754.346
3,1446174.0401162277,4908.416
4,295.05900281373124,1.489
5,1446174.0401162277,0.0
0,771978.3777942169,18865.263
1,771977.8326473025,18865.174
2,1369727.7783866778,16993.581
3,604336.2287726993,16992.694
4,1446174.0401162277,11388.054
5,1446174.0401162277,11166.768
6,2.1684603490170096,3.98
7,1446174.0401162277,0.0
0,771978.3777942169,2679445.393
1,771977.8326473025,2679445.205
2,1369727.7783866778,2679401.349
3,1446174.0401162277,2677680.534
4,1446174.0401162277,2673125.764
5,1446174.0401162277,1873915.097
6,1446174.0401162277,0.056
7,295.05900281373124,0.0
0,771978.3777942169,189865.051
1,771977.8326473025,189864.906
2,1369727.7783866778,189150.847
3,604336.2287726993,189149.825
4,1446174.0401162277,178760.368
5,1446174.0401162277,12326.479
6,295.05900281373124,1.764
7,1446174.0401162277,0.0
0,771978.3777942169,1040777.581
1,771977.8326473025,1040777.293
2,1369727.7783866778,1040745.378
3,1446174.0401162277,1034361.74
4,1601554.9322030153,1032055.295
5,1590044.4747371168,1031707.526
6,1625623.3897638072,1031707.526
7,1590041.78589297,1031706.302
8,1590041.7263020962,1031706.276
9,1446174.0401162277,1031703.927
10,1121596.2301124877,412030.71
11,455055.6343089471,252684.681
12,1121596.2301124877,252683.297
13,2.1684603490170096,3.462
14,4.30415657620042,3.462
15,240389.78877129089,0.0
0,771978.3777942169,2241622.427
1,771977.8326473025,2241622.133
2,1369727.7783866778,2241580.823
3,1601554.9322030153,2241339.813
4,1625623.3897638072,2241201.065
5,1590044.4747371168,2241201.065
6,1590041.78589297,2241199.083
7,1590041.7263020962,2241199.056
8,1446174.0401162277,2241197.836
9,1121596.2301124877,2241182.816
10,1590044.4747371168,2241068.875
11,762216.2992770204,2241068.875
12,1590041.78589297,2241067.58
13,1590041.7263020962,2241067.557
14,1121596.2301124877,2241065.159
15,1121596.2301124877,2240861.257
16,1121596.2301124877,2240847.086
17,1121596.2301124877,1615583.818
18,455055.6343089471,1462976.806
19,1121596.2301124877,1462974.338
20,240389.78877129089,1197709.261
21,577842.8430326743,1195939.5
22,577842.8430326743,1193085.476
23,577842.8430326743,1181159.881
24,577842.8430326743,1181027.864
25,577842.8430326743,1181015.678
26,577842.8430326743,1015230.302
27,577842.8430326743,1009307.166
28,577842.8430326743,848709.879
29,577842.8430326743,845364.909
30,577842.8430326743,750697.544
31,577842.8430326743,747086.988
32,240389.78877129089,692680.418
33,577842.8430326743,691260.095
34,577842.8430326743,690822.695
35,577842.8430326743,604048.827
36,577842.8430326743,237186.258
37,577842.8430326743,90323.375
38,7527.792504385949,8.463
39,7845.475503649621,8.463
40,7845.474540145966,8.462
41,7845.474449635019,8.462
42,240389.78877129089,0.0
0,771978.3777942169,796855.639
1,771977.8326473025,796854.99
2,1369727.7783866778,796812.825
3,1601554.9322030153,796193.6
4,1590044.4747371168,796062.313
5,1625623.3897638072,796062.313
6,1590041.78589297,796060.892
7,1590041.7263020962,796060.86
8,1446174.0401162277,796059.583
9,1121596.2301124877,795937.46
10,1121596.2301124877,795335.547
11,1121596.2301124877,524450.285
12,455055.6343089471,369523.808
13,1121596.2301124877,369522.144
14,240389.78877129089,22940.447
15,577842.8430326743,22104.991
16,577842.8430326743,17156.941
17,577842.8430326743,7575.687
18,4.30415657620042,4.387
19,2.1684603490170096,4.387
20,577842.8430326743,0.0
0,771978.3777942169,186966.2
1,771977.8326473025,186965.929
2,604336.2287726993,185752.905
3,1369727.7783866778,185246.444
4,604336.2287726993,185244.978
5,1446174.0401162277,181271.742
6,1446174.0401162277,179178.701
7,1446174.0401162277,174782.798
8,1446174.0401162277,15278.376
9,2.1684603490170096,3.036
10,1446174.0401162277,0.0
0,771978.3777942169,43.699
1,771977.8326473025,43.559
2,2.1684603490170096,0.0
0,771978.3777942169,1715532.568
1,771977.8326473025,1715532.304
2,1369727.7783866778,1715482.246
3,1446174.0401162277,1710769.521
4,1446174.0401162277,1705989.071
5,1446174.0401162277,1705022.123
6,1601554.9322030153,1704735.139
7,1590044.4747371168,1704493.257
8,1625623.3897638072,1704493.256
9,1590041.78589297,1704491.525
10,1590041.7263020962,1704491.499
11,1446174.0401162277,1704489.23
12,1121596.2301124877,1703981.747
13,1121596.2301124877,1097280.932
14,1121596.2301124877,908334.721
15,1121596.2301124877,858077.179
16,1121596.2301124877,825193.821
17,1121596.2301124877,754260.832
18,1121596.2301124877,657157.517
19,455055.6343089471,600433.316
20,1121596.2301124877,600431.425
21,240389.78877129089,157696.33
22,577842.8430326743,156924.238
23,577842.8430326743,156697.046
24,577842.8430326743,136593.8
25,577842.8430326743,89865.431
26,240389.78877129089,82765.156
27,577842.8430326743,81632.92
28,577842.8430326743,80594.865
29,240389.78877129089,76054.501
30,577842.8430326743,74148.463
31,577842.8430326743,69358.971
32,577842.8430326743,60159.432
33,240389.78877129089,10396.119
34,240389.78877129089,190.657
35,7527.792504385949,7.261
36,7845.474449635019,7.26
37,7845.474540145966,7.26
38,7845.475503649621,7.26
39,240389.78877129089,0.0
0,771978.3777942169,8122.309
1,771977.8326473025,8122.216
2,2.1684603490170096,3.309
3,604336.2287726993,0.0
0,771978.3777942169,1465178.997
1,771977.8326473025,1465178.758
2,1369727.7783866778,1465133.553
3,1446174.0401162277,1455688.188
4,1446174.0401162277,1454752.781
5,1601554.9322030153,1454481.835
6,1625623.3897638072,1454171.498
7,1590044.4747371168,1454171.498
8,1590041.78589297,1454170.111
9,1590041.7263020962,1454170.071
10,1446174.0401162277,1454168.901
11,1590044.4747371168,1206137.776
12,762216.2992770204,1206137.776
13,1590041.78589297,1206136.546
14,1590041.7263020962,1206136.506
15,1121596.2301124877,1206134.997
16,455055.6343089471,685659.176
17,1121596.2301124877,685657.576
18,240389.78877129089,436348.556
19,577842.8430326743,435480.546
20,577842.8430326743,435304.445
21,577842.8430326743,435196.756
22,1590044.4747371168,433485.209
23,762216.2992770204,433485.209
24,1590041.78589297,433484.158
25,1590041.7263020962,433484.124
26,577842.8430326743,433482.054
27,577842.8430326743,431107.287
28,455055.6343089471,6061.397
29,577842.8430326743,6059.153
30,7527.792504385949,9.053
31,7845.475503649621,9.053
32,7845.474540145966,9.052
33,7845.474449635019,9.052
34,240389.78877129089,0.0
0,771978.3777942169,1134596.991
1,771977.8326473025,1134596.789
2,1369727.7783866778,1134553.533
3,1446174.0401162277,1126527.745
4,1446174.0401162277,1125654.592
5,1601554.9322030153,1124924.016
6,1590044.4747371168,1124776.039
7,1625623.3897638072,1124776.039
8,1590041.78589297,1124774.883
9,1590041.7263020962,1124774.853
10,1446174.0401162277,1124772.648
11,1121596.2301124877,1124553.717
12,1121596.2301124877,521407.458
13,455055.6343089471,281023.113
14,1121596.2301124877,281021.61
15,240389.78877129089,97829.505
16,240389.78877129089,91116.289
17,577842.8430326743,73268.032
18,577842.8430326743,22574.106
19,577842.8430326743,10977.252
20,577842.8430326743,9950.54
21,577842.8430326743,8257.465
22,577842.8430326743,2016.907
23,7527.792504385949,8.124
24,7845.474540145966,8.124
25,7845.475503649621,8.124
26,7845.474449635019,8.124
27,240389.78877129089,0.0
0,771978.3777942169,1130876.516
1,771977.8326473025,1130876.347
2,1369727.7783866778,1126547.843
3,604336.2287726993,1126546.885
4,1446174.0401162277,1123328.121
5,1446174.0401162277,960951.332
6,1446174.0401162277,950218.44
7,1446174.0401162277,879413.245
8,1446174.0401162277,872747.932
9,1446174.0401162277,858299.276
10,1446174.0401162277,800393.193
11,1446174.0401162277,786211.415
12,1446174.0401162277,769080.004
13,1446174.0401162277,766730.958
14,1446174.0401162277,712324.985
15,1446174.0401162277,673076.469
16,1446174.0401162277,595030.773
17,1446174.0401162277,536441.45
18,1446174.0401162277,534107.114
19,2.1684603490170096,4.657
20,1446174.0401162277,0.0
0,771978.3777942169,599863.578
1,771977.8326473025,599863.388
2,1369727.7783866778,595473.656
3,604336.2287726993,595472.49
4,1601554.9322030153,593425.917
5,1590044.4747371168,593238.017
6,1625623.3897638072,593238.016
7,1590041.78589297,593235.035
8,1590041.7263020962,593235.013
9,1446174.0401162277,593232.831
10,762216.2992770204,2.083
11,295.05900281373124,2.083
12,1121596.2301124877,0.0
0,771978.3777942169,182107.961
1,771977.8326473025,182107.742
2,1369727.7783866778,177607.266
3,604336.2287726993,177606.146
4,1446174.0401162277,175635.941
5,1446174.0401162277,175625.921
6,1446174.0401162277,175434.922
7,1446174.0401162277,174888.134
8,1601554.9322030153,173462.073
9,1625623.3897638072,173259.218
10,1590044.4747371168,173259.218
11,1590041.78589297,173211.417
12,1590041.7263020962,173211.38
13,1446174.0401162277,173210.107
14,1121596.2301124877,173103.536
15,762216.2992770204,172927.643
16,1590044.4747371168,172927.643
17,1590041.78589297,172926.655
18,1590041.7263020962,172926.63
19,1121596.2301124877,172925.251
20,1121596.2301124877,172558.52
21,2.1684603490170096,4.714
22,4.30415657620042,4.714
23,1121596.2301124877,0.0
0,771978.3777942169,851098.268
1,771977.8326473025,851098.012
2,1369727.7783866778,851056.583
3,1446174.0401162277,846334.277
4,1601554.9322030153,842189.173
5,1625623.3897638072,841778.519
6,1590044.4747371168,841778.519
7,1590041.78589297,841776.741
8,1590041.7263020962,841776.706
9,1446174.0401162277,841774.336
10,455055.6343089471,338359.391
11,1121596.2301124877,338357.362
12,7527.792504385949,6.727
13,7845.474540145966,6.726
14,7845.474449635019,6.726
15,7845.475503649621,6.726
16,240389.78877129089,0.0
0,771978.3777942169,1121912.096
1,771977.8326473025,1121910.775
2,1369727.7783866778,1121870.599
3,1446174.0401162277,1118640.047
4,1446174.0401162277,1117717.605
5,1446174.0401162277,955881.963
6,1446174.0401162277,882016.858
7,1446174.0401162277,867917.437
8,1446174.0401162277,851473.335
9,1446174.0401162277,794183.368
10,1446174.0401162277,779787.624
11,1446174.0401162277,762570.257
12,1446174.0401162277,707370.158
13,1446174.0401162277,623422.325
14,1446174.0401162277,589604.383
15,1446174.0401162277,530179.369
16,1446174.0401162277,2219.676
17,1446174.0401162277,2142.072
18,1446174.0401162277,130.861
19,416836.8241988305,101.991
20,2.1684603490170096,2.689
21,416836.8241988305,0.0
0,771978.3777942169,37.588
1,771977.8326473025,37.386
2,2.1684603490170096,0.0
0,771978.3777942169,1124753.739
1,771977.8326473025,1124753.408
2,1369727.7783866778,1124714.108
3,1601554.9322030153,1122276.496
4,1625623.3897638072,1121967.78
5,1590044.4747371168,1121967.78
6,1590041.78589297,1121966.853
7,1590041.7263020962,1121966.826
8,1446174.0401162277,1121965.623
9,1121596.2301124877,529572.528
10,1121596.2301124877,330541.465
11,455055.6343089471,275973.356
12,1121596.2301124877,275972.029
13,7845.475503649621,7.809
14,7845.474449635019,7.809
15,7845.474540145966,7.809
16,7527.792504385949,7.809
17,240389.78877129089,0.0
0,771978.3777942169,1761.029
1,771977.8326473025,1760.404
2,2.1684603490170096,3.161
3,604336.2287726993,0.0
0,771978.3777942169,448809.9
1,771977.8326473025,448809.801
2,1369727.7783866778,448767.184
3,1446174.0401162277,446775.778
4,1446174.0401162277,446628.492
5,1446174.0401162277,284627.169
6,1446174.0401162277,213451.949
7,1446174.0401162277,200463.195
8,1446174.0401162277,185678.579
9,1446174.0401162277,127892.079
10,1446174.0401162277,122959.606
11,1446174.0401162277,110789.193
12,1446174.0401162277,93673.597
13,1446174.0401162277,39229.791
14,295.05900281373124,1.579
15,1446174.0401162277,0.0
0,771978.3777942169,36.499
1,771977.8326473025,36.366
2,2.1684603490170096,0.0
0,771978.3777942169,35.277
1,771977.8326473025,35.177
2,2.1684603490170096,0.0
0,771978.3777942169,149944.443
1,771977.8326473025,149944.333
2,1369727.7783866778,149912.63
3,1446174.0401162277,4679.422
4,2.1684603490170096,3.508
5,1446174.0401162277,0.0
0,771978.3777942169,141326.464
1,771977.8326473025,141326.291
2,2.1684603490170096,4.029
3,604336.2287726993,0.0
0,771978.3777942169,141277.848
1,771977.8326473025,141277.734
2,1369727.7783866778,141238.271
3,2.1684603490170096,24.992
4,1446174.0401162277,0.0
0,771978.3777942169,3869079.954
1,771977.8326473025,3869079.82
2,1369727.7783866778,3869034.323
3,1446174.0401162277,3731450.317
4,1446174.0401162277,3712426.033
5,1446174.0401162277,3642546.711
6,1446174.0401162277,3629321.752
7,1446174.0401162277,3616532.606
8,1446174.0401162277,3616512.155
9,1446174.0401162277,3616246.942
10,1601554.9322030153,3615310.343
11,1590044.4747371168,3615189.677
12,1625623.3897638072,3615189.677
13,1590041.78589297,3615188.482
14,1590041.7263020962,3615188.44
15,1446174.0401162277,3615187.015
16,1121596.2301124877,2999257.022
17,1121596.2301124877,2926983.205
18,1121596.2301124877,2833231.487
19,455055.6343089471,2514082.363
20,1121596.2301124877,2514080.791
21,240389.78877129089,2334331.208
22,577842.8430326743,2329763.715
23,577842.8430326743,2311972.927
24,577842.8430326743,2262042.072
25,577842.8430326743,2141575.378
26,577842.8430326743,1912493.529
27,577842.8430326743,1640443.511
28,577842.8430326743,1576792.068
29,240389.78877129089,1569628.555
30,577842.8430326743,1562164.794
31,577842.8430326743,1559711.721
32,240389.78877129089,1307508.618
33,240389.78877129089,1301547.709
34,577842.8430326743,1286029.017
35,577842.8430326743,1267993.329
36,577842.8430326743,1204281.969
37,577842.8430326743,1201044.752
38,577842.8430326743,1051952.495
39,577842.8430326743,1023748.84
40,577842.8430326743,1020904.926
41,577842.8430326743,869544.002
42,577842.8430326743,857054.628
43,577842.8430326743,703045.717
44,577842.8430326743,684674.095
45,577842.8430326743,682841.767
46,577842.8430326743,576757.154
47,577842.8430326743,437432.845
48,577842.8430326743,357577.709
49,240389.78877129089,354286.583
50,240389.78877129089,1342.014
51,7845.475503649621,8.04
52,7527.792504385949,8.04
53,7845.474449635019,8.04
54,7845.474540145966,8.04
55,240389.78877129089,0.0
0,771978.3777942169,1554355.51
1,771977.8326473025,1554355.348
2,1369727.7783866778,1554310.658
3,1601554.9322030153,1416238.38
4,1590044.4747371168,1416050.015
5,1625623.3897638072,1416050.015
6,1590041.78589297,1416048.889
7,1590041.7263020962,1416048.854
8,1446174.0401162277,1416047.482
9,762216.2992770204,1415713.865
10,1590044.4747371168,1415713.865
11,1590041.78589297,1415712.975
12,1590041.7263020962,1415712.948
13,1121596.2301124877,1415711.606
14,1121596.2301124877,1415522.456
15,1121596.2301124877,1414671.145
16,1121596.2301124877,790880.98
17,1121596.2301124877,773519.73
18,1121596.2301124877,770160.939
19,1121596.2301124877,111748.068
20,295.05900281373124,3.473
21,762216.2992770204,3.473
22,1121596.2301124877,0.0
0,771978.3777942169,760108.114
1,771977.8326473025,760107.969
2,1369727.7783866778,760065.618
3,1601554.9322030153,622662.01
4,1590044.4747371168,622592.964
5,1625623.3897638072,622592.963
6,1590041.78589297,622592.018
7,1590041.7263020962,622591.995
8,1446174.0401162277,622590.781
9,1121596.2301124877,622281.31
10,1121596.2301124877,622225.315
11,455055.6343089471,265536.016
12,1121596.2301124877,265534.755
13,240389.78877129089,247893.294
14,7527.792504385949,7.945
15,7845.475503649621,7.945
16,7845.474449635019,7.944
17,7845.474540145966,7.944
18,240389.78877129089,0.0
0,771978.3777942169,1439545.485
1,771977.8326473025,1439545.308
2,1369727.7783866778,1439502.931
3,1446174.0401162277,1302919.369
4,1601554.9322030153,1283710.05
5,1590044.4747371168,1283512.509
6,1625623.3897638072,1283512.509
7,1590041.78589297,1283511.444
8,1590041.7263020962,1283511.422
9,1446174.0401162277,1283509.754
10,1121596.2301124877,1283207.365
11,1121596.2301124877,668223.27
12,455055.6343089471,350183.189
13,1121596.2301124877,350181.827
14,240389.78877129089,4055.26
15,577842.8430326743,1802.082
16,240389.78877129089,411.931
17,7527.792504385949,8.017
18,7845.474540145966,8.017
19,7845.474449635019,8.017
20,7845.475503649621,8.017
21,240389.78877129089,0.0
0,771978.3777942169,767084.409
1,771977.8326473025,767083.916
2,1369727.7783866778,767041.97
3,1446174.0401162277,633097.402
4,1601554.9322030153,627379.836
5,1625623.3897638072,626882.7
6,1590044.4747371168,626882.7
7,1590041.78589297,626834.229
8,1590041.7263020962,626834.2
9,1446174.0401162277,626832.786
10,1121596.2301124877,29.177
11,295.05900281373124,2.238
12,762216.2992770204,2.238
13,1121596.2301124877,0.0
0,771978.3777942169,252175.603
1,771977.8326473025,252175.476
2,1369727.7783866778,252124.68
3,1446174.0401162277,118494.344
4,1446174.0401162277,922.42
5,1446174.0401162277,890.482
6,2.1684603490170096,3.272
7,1446174.0401162277,0.0
0,771978.3777942169,131519.238
1,771977.8326473025,131519.081
2,2.1684603490170096,4.409
3,604336.2287726993,0.0
0,771978.3777942169,2812041.804
1,771977.8326473025,2812041.599
2,1369727.7783866778,2811991.839
3,1446174.0401162277,2680649.311
4,1601554.9322030153,2679859.751
5,1590044.4747371168,2679712.01
6,1625623.3897638072,2679712.009
7,1590041.78589297,2679711.2
8,1590041.7263020962,2679711.171
9,1446174.0401162277,2679708.57
10,1121596.2301124877,2679344.897
11,1121596.2301124877,2678900.468
12,1121596.2301124877,2051929.717
13,1121596.2301124877,1368655.091
14,1121596.2301124877,1368334.573
15,1121596.2301124877,1263494.062
16,1121596.2301124877,771141.229
17,1121596.2301124877,756213.65
18,1121596.2301124877,756185.121
19,1121596.2301124877,587971.787
20,1121596.2301124877,234200.795
21,1121596.2301124877,233207.187
22,1121596.2301124877,0.009
23,295.05900281373124,0.003
24,762216.2992770204,0.0
0,771978.3777942169,40.851
1,771977.8326473025,40.722
2,2.1684603490170096,0.0
0,771978.3777942169,2805356.087
1,771977.8326473025,2805355.652
2,1369727.7783866778,2682371.255
3,604336.2287726993,2682370.253
4,1446174.0401162277,2675435.618
5,1601554.9322030153,2672994.768
6,1590044.4747371168,2672858.122
7,1625623.3897638072,2672858.122
8,1590041.78589297,2672857.0
9,1590041.7263020962,2672856.974
10,1446174.0401162277,2672855.577
11,1121596.2301124877,2672733.897
12,1121596.2301124877,2049477.421
13,1121596.2301124877,2040438.651
14,1121596.2301124877,1878660.336
15,1121596.2301124877,1779073.466
16,1121596.2301124877,1779009.516
17,1121596.2301124877,1776843.717
18,1121596.2301124877,1776164.498
19,1121596.2301124877,1775940.072
20,1121596.2301124877,1624165.68
21,1121596.2301124877,1433497.867
22,1121596.2301124877,1293929.737
23,1121596.2301124877,1261096.107
24,1121596.2301124877,1258971.578
25,1121596.2301124877,0.004
26,295.05900281373124,0.0
27,762216.2992770204,0.0
0,771978.3777942169,130446.134
1,771977.8326473025,130446.004
2,1369727.7783866778,7499.249
3,604336.2287726993,7497.4
4,2.1684603490170096,5.355
5,1446174.0401162277,0.0
0,771978.3777942169,807499.546
1,771977.8326473025,807498.897
2,1369727.7783866778,807452.409
3,1601554.9322030153,689506.628
4,1590044.4747371168,688990.006
5,1625623.3897638072,688990.005
6,1590041.78589297,688989.003
7,1590041.7263020962,688988.979
8,1446174.0401162277,688987.632
9,762216.2992770204,688942.032
10,1590044.4747371168,688942.032
11,1590041.78589297,688940.652
12,1590041.7263020962,688940.628
13,1121596.2301124877,688939.088
14,1121596.2301124877,688875.833
15,455055.6343089471,330735.495
16,1121596.2301124877,330734.157
17,2.1684603490170096,3.045
18,4.30415657620042,3.045
19,240389.78877129089,0.0
0,771978.3777942169,43.258
1,771977.8326473025,43.084
2,2.1684603490170096,0.0
0,771978.3777942169,951175.385
1,771977.8326473025,951174.344
2,1369727.7783866778,951137.1
3,1601554.9322030153,863055.295
4,1590044.4747371168,862732.814
5,1625623.3897638072,862732.813
6,1590041.78589297,862731.439
7,1590041.7263020962,862731.387
8,1446174.0401162277,862730.187
9,1121596.2301124877,862330.766
10,455055.6343089471,243280.021
11,1121596.2301124877,243278.598
12,240389.78877129089,88684.378
13,4.30415657620042,3.183
14,2.1684603490170096,3.183
15,240389.78877129089,0.0
0,771978.3777942169,104417.578
1,771977.8326473025,104417.233
2,604336.2287726993,18272.603
3,604336.2287726993,17836.834
4,1369727.7783866778,17680.243
5,604336.2287726993,17678.888
6,1446174.0401162277,17577.291
7,1446174.0401162277,2423.64
8,1446174.0401162277,1704.408
9,2.1684603490170096,6.669
10,1446174.0401162277,0.0
0,771978.3777942169,85456.738
1,771977.8326473025,85456.593
2,604336.2287726993,235.044
3,1369727.7783866778,67.295
4,604336.2287726993,65.273
5,2.1684603490170096,3.392
6,1446174.0401162277,0.0
0,771978.3777942169,44.699
1,771977.8326473025,44.513
2,2.1684603490170096,0.0
0,771978.3777942169,1396336.364
1,771977.8326473025,1396336.041
2,1369727.7783866778,1396286.553
3,1446174.0401162277,1311333.189
4,1446174.0401162277,1310528.077
5,1601554.9322030153,1309416.244
6,1590044.4747371168,1309007.019
7,1625623.3897638072,1309007.019
8,1590041.78589297,1309005.957
9,1590041.7263020962,1309005.926
10,1446174.0401162277,1309004.515
11,1121596.2301124877,1308944.674
12,1121596.2301124877,1307833.425
13,1121596.2301124877,682295.995
14,1121596.2301124877,13894.194
15,1121596.2301124877,2105.357
16,295.05900281373124,2.597
17,762216.2992770204,2.597
18,1121596.2301124877,0.0
0,771978.3777942169,41.569
1,771977.8326473025,41.479
2,2.1684603490170096,0.0
0,771978.3777942169,183719.6
1,771977.8326473025,183719.464
2,1369727.7783866778,183686.712
3,1446174.0401162277,99234.352
4,1446174.0401162277,6388.531
5,295.05900281373124,1.824
6,1446174.0401162277,0.0
0,771978.3777942169,791622.78
1,771977.8326473025,791622.615
2,1369727.7783866778,791574.352
3,1446174.0401162277,708352.382
4,1446174.0401162277,697289.059
5,1601554.9322030153,697272.108
6,1625623.3897638072,697043.496
7,1590044.4747371168,697043.496
8,1590041.78589297,697042.452
9,1590041.7263020962,697042.422
10,1446174.0401162277,697040.997
11,455055.6343089471,103161.306
12,1121596.2301124877,103159.927
13,7527.792504385949,7.878
14,7845.475503649621,7.878
15,7845.474540145966,7.877
16,7845.474449635019,7.877
17,240389.78877129089,0.0
0,771978.3777942169,861954.365
1,771977.8326473025,861954.161
2,1369727.7783866778,861910.098
3,1601554.9322030153,779559.804
4,1625623.3897638072,779408.869
5,1590044.4747371168,779408.869
6,1590041.78589297,779407.279
7,1590041.7263020962,779407.258
8,1446174.0401162277,779405.802
9,455055.6343089471,161967.459
10,1121596.2301124877,161965.827
11,4.30415657620042,2.918
12,2.1684603490170096,2.918
13,240389.78877129089,0.0
0,771978.3777942169,39.793
1,771977.8326473025,39.568
2,2.1684603490170096,0.0
0,771978.3777942169,34.09
1,771977.8326473025,33.998
2,2.1684603490170096,0.0
0,771978.3777942169,78065.7
1,771977.8326473025,78065.531
2,604336.2287726993,166.426
3,2.1684603490170096,6.296
4,604336.2287726993,0.0
0,771978.3777942169,708973.819
1,771977.8326473025,708973.648
2,1369727.7783866778,630912.948
3,604336.2287726993,630910.936
4,1601554.9322030153,619895.745
5,1590044.4747371168,619609.422
6,1625623.3897638072,619609.422
7,1590041.78589297,619608.14
8,1590041.7263020962,619608.101
9,1446174.0401162277,619606.633
10,1121596.2301124877,619508.807
11,762216.2992770204,2.345
12,295.05900281373124,2.345
13,1121596.2301124877,0.0
0,771978.3777942169,77131.391
1,771977.8326473025,77131.223
2,2.1684603490170096,4.084
3,604336.2287726993,0.0
0,771978.3777942169,45.435
1,771977.8326473025,45.344
2,2.1684603490170096,0.0
0,771978.3777942169,2058200.783
1,771977.8326473025,2058200.638
2,1369727.7783866778,2058156.156
3,1446174.0401162277,1979405.761
4,1601554.9322030153,1979375.931
5,1625623.3897638072,1979158.169
6,1590044.4747371168,1979158.169
7,1590041.78589297,1979156.989
8,1590041.7263020962,1979156.96
9,1446174.0401162277,1979155.754
10,1121596.2301124877,1352367.392
11,1121596.2301124877,678393.708
12,1121596.2301124877,566421.905
13,455055.6343089471,514550.21
14,1121596.2301124877,514549.056
15,4.30415657620042,5.833
16,2.1684603490170096,5.833
17,240389.78877129089,0.0
0,771978.3777942169,1026022.388
1,771977.8326473025,1026021.347
2,1369727.7783866778,1025979.367
3,1446174.0401162277,949039.875
4,1446174.0401162277,933897.355
5,1446174.0401162277,931820.931
6,1446174.0401162277,931674.786
7,1446174.0401162277,829626.877
8,1601554.9322030153,829613.215
9,1625623.3897638072,829510.855
10,1590044.4747371168,829510.855
11,1590041.78589297,829509.64
12,1590041.7263020962,829509.556
13,1446174.0401162277,829508.215
14,1121596.2301124877,829496.794
15,1121596.2301124877,829407.693
16,455055.6343089471,259485.946
17,1121596.2301124877,259483.387
18,240389.78877129089,579.329
19,4.30415657620042,3.871
20,2.1684603490170096,3.871
21,240389.78877129089,0.0
0,771978.3777942169,3.363
1,771977.8326473025,2.919
2,2.1684603490170096,0.0
0,771978.3777942169,41.577
1,771977.8326473025,41.499
2,2.1684603490170096,0.0
0,771978.3777942169,2853931.581
1,771977.8326473025,2853931.383
2,1369727.7783866778,2781481.424
3,604336.2287726993,2781479.222
4,1446174.0401162277,2769328.835
5,1601554.9322030153,2765488.712
