index,case_id,case_execution_time,case_execution_time_seconds,num_of_events
315,174686,8 days 03:22:39.062000000,703359.062,19
316,174689,30 days 21:23:39.672000000,2669019.672,23
317,174692,0 days 00:00:46.337000000,46.337,3
318,174695,6 days 22:05:15.675000000,597915.675,17
319,174698,0 days 00:00:42.650000000,42.65,3
320,174701,0 days 00:00:36.514000000,36.514,3
321,174704,0 days 00:00:35.909000000,35.909,3
322,174707,14 days 01:47:51.499000000,1216071.499,26
323,174710,30 days 20:53:26.771000000,2667206.771,18
324,174713,0 days 00:51:38.498000000,3098.498,6
325,174716,0 days 03:36:06.735000000,12966.735,9
326,174719,11 days 22:06:53.191000000,1030013.191,19
327,174722,33 days 23:10:50.668000000,2934650.668,36
328,174725,0 days 00:00:36.090000000,36.09,3
329,174728,0 days 00:18:40.382000000,1120.382,4
330,174731,0 days 00:32:48.250000000,1968.25,5
331,174734,1 days 00:51:55.683000000,89515.683,5
332,174737,19 days 06:15:32.104000000,1664132.104,22
333,174740,30 days 19:59:43.510000000,2663983.51,24
334,174743,0 days 00:43:25.318000000,2605.318,5
335,174746,0 days 00:13:47.326000000,827.326,5
336,174749,30 days 02:35:46.688000000,2601346.688,26
337,174752,14 days 23:18:49.842000000,1293529.842,18
338,174755,1 days 00:26:36.309000000,87996.309,5
339,174758,19 days 00:34:01.500000000,1643641.5,28
340,174761,8 days 23:28:35.332000000,775715.332,28
341,174764,9 days 05:18:04.226000000,796684.226,33
342,174767,9 days 00:28:46.781000000,779326.781,14
343,174770,0 days 01:30:14.773000000,5414.773,5
344,174773,12 days 04:39:26.775000000,1053566.775,20
345,174776,0 days 00:00:31.816000000,31.816,3
346,174779,7 days 21:17:34.487000000,681454.487,18
347,174782,0 days 01:10:08.555000000,4208.555,4
348,174785,14 days 22:10:02.203000000,1289402.203,27
349,174788,0 days 00:01:05.921000000,65.921,3
350,174791,0 days 00:00:41.147000000,41.147,3
351,174794,0 days 00:49:01.181000000,2941.181,4
352,174797,0 days 00:00:38.270000000,38.27,3
353,174800,11 days 18:39:15.184000000,1017555.184,16
354,174803,0 days 00:00:46.292000000,46.292,3
355,174806,30 days 18:20:09.949000000,2658009.949,27
356,174809,0 days 00:00:53.364000000,53.364,3
357,174812,0 days 00:00:02.574000000,2.574,3
358,174815,21 days 23:34:12.791000000,1899252.791,33
359,174818,30 days 18:18:04.182000000,2657884.182,30
360,174821,0 days 01:41:44.041000000,6104.041,6
361,174824,23 days 00:20:07.511000000,1988407.511,23
362,174827,6 days 18:13:07.361000000,583987.361,13
363,174830,0 days 00:00:33.597000000,33.597,3
364,174833,0 days 00:00:41.400000000,41.4,3
365,174836,0 days 00:04:04.134000000,244.134,4
366,174839,0 days 00:00:35.346000000,35.346,3
367,174842,0 days 00:00:35.620000000,35.62,3
368,174845,15 days 16:52:23.719000000,1356743.719,28
369,174848,8 days 18:01:59.120000000,756119.12,16
370,174851,21 days 16:56:39.064000000,1875399.064,36
371,174854,30 days 16:47:38.193000000,2652458.193,11
372,174857,0 days 16:36:32.062000000,59792.062,10
373,174860,0 days 01:15:12.077000000,4512.077,8
374,174863,15 days 16:10:18.264000000,1354218.264,25
375,174866,0 days 00:00:40.041000000,40.041,3
376,174869,30 days 15:58:42.866000000,2649522.866,17
377,174872,36 days 22:31:04.972000000,3191464.972,52
378,174875,8 days 20:36:04.752000000,765364.752,17
379,174878,7 days 17:27:51.595000000,667671.595,19
380,174881,30 days 15:11:41.618000000,2646701.618,20
381,174884,30 days 14:57:40.914000000,2645860.914,31
382,174887,0 days 00:00:50.453000000,50.453,3
383,174890,0 days 00:25:07.124000000,1507.124,7
384,174893,0 days 15:33:19.307000000,55999.307,6
385,174896,15 days 16:15:44.208000000,1354544.208,30
386,174899,0 days 00:00:42.486000000,42.486,3
387,174902,0 days 00:45:38.256000000,2738.256,7
388,174905,21 days 19:36:43.449000000,1885003.449,20
389,174908,0 days 00:08:20.787000000,500.787,5
390,174911,11 days 15:28:00.001000000,1006080.001,19
391,174914,9 days 18:25:30.401000000,843930.401,15
392,174917,31 days 13:29:45.955000000,2726985.955,21
393,174920,25 days 15:38:09.601000000,2216289.601,20
394,174923,8 days 12:31:37.143000000,736297.143,23
395,174926,19 days 19:03:39.046000000,1710219.046,23
396,174929,11 days 15:57:33.034000000,1007853.034,17
397,174932,0 days 23:20:27.778000000,84027.778,9
398,174935,19 days 18:46:16.112000000,1709176.112,28
399,174938,29 days 13:27:09.246000000,2554029.246,27
400,174941,0 days 12:22:29.392000000,44549.392,6
401,174944,19 days 17:50:39.735000000,1705839.735,49
402,174947,7 days 14:41:52.479000000,657712.479,16
403,174950,0 days 11:45:23.424000000,42323.424,7
404,174953,6 days 12:05:28.551000000,561928.551,16
405,174956,0 days 11:45:31.918000000,42331.918,4
406,174959,31 days 11:33:00.387000000,2719980.387,25
407,174962,12 days 11:22:44.589000000,1077764.589,27
408,174965,20 days 17:11:27.626000000,1789887.626,35
409,174968,12 days 14:10:31.020000000,1087831.02,27
410,174979,18 days 12:04:03.142000000,1598643.142,21
411,174982,0 days 00:38:38.863000000,2318.863,6
412,174985,7 days 03:02:29.600000000,615749.6,18
413,174988,0 days 00:00:43.769000000,43.769,3
414,174991,30 days 23:47:10.964000000,2677630.964,9
415,174994,0 days 03:01:33.468000000,10893.468,4
416,174997,0 days 00:53:45.932000000,3225.932,5
417,175000,3 days 23:39:11.230000000,344351.23,7
418,175003,0 days 00:00:57.513000000,57.513,3
419,175006,0 days 00:00:54.314000000,54.314,3
420,175009,0 days 00:00:32.322000000,32.322,3
421,175012,0 days 02:32:50.153000000,9170.153,6
422,175015,14 days 08:08:28.760000000,1238908.76,31
423,175018,6 days 22:14:03.396000000,598443.396,16
424,175021,0 days 00:00:42.132000000,42.132,3
425,175024,30 days 22:20:13.780000000,2672413.78,14
426,175027,5 days 21:32:07.730000000,509527.73,24
427,175030,0 days 00:00:46.985000000,46.985,3
428,175033,0 days 01:43:42.065000000,6222.065,4
429,175036,0 days 00:00:41.588000000,41.588,3
430,175039,30 days 22:03:47.572000000,2671427.572,25
431,175042,0 days 01:35:38.372000000,5738.372,4
432,175045,12 days 03:28:51.711000000,1049331.711,17
433,175048,30 days 21:58:50.167000000,2671130.167,17
434,175051,0 days 00:00:40.656000000,40.656,3
435,175054,22 days 02:20:42.557000000,1909242.557,21
436,175057,0 days 00:09:42.004000000,582.004,4
437,175060,33 days 00:42:06.176000000,2853726.176,34
438,175063,0 days 00:47:22.007000000,2842.007,4
439,175066,0 days 00:58:12.123000000,3492.123,4
440,175069,0 days 00:00:36.434000000,36.434,3
441,175072,0 days 00:00:01.896000000,1.896,3
442,175075,0 days 05:43:47.921000000,20627.921,7
443,175078,27 days 01:30:05.251000000,2338205.251,38
444,175081,22 days 01:55:46.141000000,1907746.141,25
445,175084,0 days 00:00:54.155000000,54.155,3
446,175087,0 days 00:07:37.666000000,457.666,4
447,175090,0 days 00:00:34.830000000,34.83,3
448,175093,59 days 21:25:46.177000000,5174746.177,38
449,175096,30 days 18:38:49.500000000,2659129.5,39
450,175099,12 days 19:37:17.934000000,1107437.934,22
451,175102,0 days 00:07:46.080000000,466.08,4
452,175105,11 days 23:46:40.040000000,1036000.04,23
453,175108,0 days 02:53:41.222000000,10421.222,4
454,175111,0 days 03:29:46.143000000,12586.143,6
455,175114,7 days 17:28:12.883000000,667692.883,17
456,175117,0 days 01:42:50.379000000,6170.379,4
457,175120,30 days 16:36:44.714000000,2651804.714,15
458,175123,0 days 00:00:35.048000000,35.048,3
459,175126,0 days 01:28:20.628000000,5300.628,4
460,175129,0 days 00:00:42.097000000,42.097,3
461,175132,0 days 01:04:46.718000000,3886.718,4
462,175135,11 days 01:44:28.595000000,956668.595,17
463,175138,0 days 00:00:34.764000000,34.764,3
464,175141,7 days 18:02:21.543000000,669741.543,14
465,175144,0 days 00:00:45.166000000,45.166,3
466,175147,14 days 20:28:52.902000000,1283332.902,29
467,175150,0 days 00:02:05.414000000,125.414,4
468,175153,8 days 01:02:42.822000000,694962.822,18
469,175156,0 days 13:21:47.661000000,48107.661,5
470,175159,0 days 00:41:34.379000000,2494.379,4
471,175162,10 days 20:24:58.787000000,937498.787,15
472,175165,0 days 00:00:36.616000000,36.616,3
473,175168,0 days 00:39:18.625000000,2358.625,4
474,175171,30 days 13:49:46.445000000,2641786.445,20
475,175174,1 days 17:27:37.870000000,149257.87,12
476,175177,24 days 19:31:36.593000000,2143896.593,30
477,175180,17 days 18:32:52.093000000,1535572.093,23
478,175183,15 days 15:05:41.414000000,1350341.414,21
479,175186,0 days 13:09:53.920000000,47393.92,6
480,175189,0 days 14:24:12.167000000,51852.167,7
481,175192,18 days 12:18:18.285000000,1599498.285,29
482,175195,26 days 22:42:54.531000000,2328174.531,27
483,175198,0 days 18:33:18.418000000,66798.418,9
484,175201,0 days 11:01:31.219000000,39691.219,4
485,175204,12 days 14:42:20.349000000,1089740.349,21
486,175219,3 days 10:43:48.489000000,297828.489,7
487,175222,0 days 00:00:38.659000000,38.659,3
488,175225,0 days 09:16:07.319000000,33367.319,4
489,175228,0 days 08:43:35.166000000,31415.166,4
490,175231,60 days 08:57:11.579000000,5216231.579,38
491,175234,49 days 15:43:13.909000000,4290193.909,32
492,175239,24 days 12:47:37.597000000,2119657.597,19
493,175242,0 days 00:00:32.195000000,32.195,3
494,175245,0 days 00:36:31.909000000,2191.909,4
495,175248,3 days 04:52:45.355000000,276765.355,23
496,175251,8 days 06:12:24.499000000,713544.499,14
497,175254,33 days 06:36:10.748000000,2874970.748,28
498,175257,0 days 01:08:00.780000000,4080.78,4
499,175260,3 days 07:13:11.967000000,285191.967,12
500,175263,14 days 09:24:45.679000000,1243485.679,19
501,175266,7 days 05:46:03.591000000,625563.591,18
502,175269,0 days 00:00:35.093000000,35.093,3
503,175272,0 days 00:00:39.851000000,39.851,3
504,175275,36 days 01:57:04.565000000,3117424.565,35
505,175278,8 days 03:45:01.769000000,704701.769,14
506,175281,17 days 03:36:12.488000000,1481772.488,41
507,175284,0 days 00:02:57.626000000,177.626,4
508,175287,21 days 03:28:53.249000000,1826933.249,24
509,175290,0 days 00:01:08.909000000,68.909,3
510,175293,19 days 02:38:14.243000000,1651094.243,30
511,175296,0 days 00:00:41.858000000,41.858,3
512,175299,0 days 00:19:48.517000000,1188.517,7
513,175302,15 days 01:21:37.665000000,1300897.665,18
514,175305,12 days 21:35:23.312000000,1114523.312,20
515,175308,0 days 00:00:53.150000000,53.15,3
516,175311,13 days 21:32:19.303000000,1200739.303,35
517,175314,0 days 00:56:36.966000000,3396.966,4
518,175317,0 days 00:00:33.612000000,33.612,3
519,175320,0 days 00:00:35.895000000,35.895,3
520,175323,13 days 00:25:00.770000000,1124700.77,29
521,175326,0 days 00:00:34.631000000,34.631,3
522,175329,37 days 20:45:41.213000000,3271541.213,42
523,175332,27 days 07:44:24.869000000,2360664.869,22
524,175335,17 days 00:25:51.961000000,1470351.961,26
525,175338,30 days 20:19:20.277000000,2665160.277,23
526,175341,30 days 20:12:53.649000000,2664773.649,10
527,175344,31 days 23:43:33.687000000,2763813.687,24
528,175347,11 days 01:21:20.884000000,955280.884,19
529,175350,0 days 00:01:02.506000000,62.506,3
530,175353,34 days 01:46:17.569000000,2943977.569,43
531,175356,0 days 00:00:42.944000000,42.944,3
532,175359,0 days 01:16:54.080000000,4614.08,6
533,175362,0 days 00:00:56.972000000,56.972,3
